date,without_mirrors,with_mirrors
2026-02-27,223,660
2026-02-28,13,94
2026-03-01,79,323
2026-03-02,164,428
2026-03-03,22,157
2026-03-04,29,72
2026-03-05,11,55
2026-03-06,14,77
2026-03-07,13,35
2026-03-08,2,18
2026-03-09,30,46
2026-03-10,3,23
2026-03-11,8,47
2026-03-12,6,28
2026-03-13,1,35
2026-03-14,1,26
2026-03-15,,10
2026-03-16,,22
2026-03-17,8,24
2026-03-18,3,9
2026-03-19,11,21
2026-03-20,3,5
2026-03-21,,16
2026-03-22,,2
2026-03-23,,48
2026-03-25,16,23
2026-03-26,,8
2026-03-27,1,21
2026-03-29,,6
2026-03-30,,6
2026-04-01,2,3
2026-04-02,,5
2026-04-04,,21
2026-04-05,,8
2026-04-06,,32
2026-04-07,4,4
2026-04-09,,3
2026-04-11,3,5
2026-04-12,,48
2026-04-13,1,17
2026-04-14,2,4
2026-04-15,,16
2026-04-16,,16
2026-04-17,1,3
2026-04-18,,1
2026-04-19,3,41
2026-04-20,3,36
2026-04-21,16,34
2026-04-22,,8
2026-04-23,1,27
2026-04-24,1,1
2026-04-25,1,33
2026-04-26,,1
2026-04-27,4,4
2026-04-28,,4
2026-04-30,3,3
2026-05-01,,8
2026-05-02,2,3
2026-05-03,,12
2026-05-05,6,7
2026-05-06,16,43
2026-05-09,,17
2026-05-10,1,10
2026-05-13,,17
2026-05-14,1,8
2026-05-15,2,4
2026-05-16,3,7
2026-05-17,1,1
2026-05-18,1,1
2026-05-19,17,17
2026-05-20,1,9
2026-05-21,92,233
2026-05-22,12,51
2026-05-23,6,22
2026-05-24,71,222
2026-05-25,6,34
2026-05-26,20,49
2026-05-27,9,32
2026-05-28,1,1
2026-05-29,18,42
2026-05-30,4,15
2026-05-31,1,2
2026-06-01,239,684
2026-06-02,240,640
2026-06-03,45,176
2026-06-04,57,136
2026-06-05,453,1069
2026-06-06,90,301
2026-06-07,12,226
2026-06-08,1,62
2026-06-09,9,99
2026-06-10,13,54
2026-06-11,12,41
2026-06-12,7,30
2026-06-13,20,66
2026-06-14,22,22
2026-06-15,171,397
2026-06-16,21,45
2026-06-17,12,42
2026-06-18,20,152
2026-06-19,31,68
2026-06-20,16,141
2026-06-21,22,64
2026-06-22,3,30
2026-06-23,4,9
2026-06-24,2,8
2026-06-25,5,28
2026-06-26,80,288
2026-06-27,30,110
2026-06-28,4,14
2026-06-29,2,15
2026-06-30,15,67
2026-07-01,5,60
2026-07-02,1,18
2026-07-03,129,398
2026-07-04,6,75
2026-07-05,2,95
2026-07-06,1,4
2026-07-07,11,60
2026-07-08,2,41
2026-07-09,15,52
2026-07-10,8,60
2026-07-11,4,6
2026-07-12,1,7
2026-07-13,,30
2026-07-14,1,8
2026-07-15,2,2
2026-07-16,,108
2026-07-17,85,247
2026-07-18,9,86
2026-07-19,3,88
2026-07-20,5,27
2026-07-21,7,13
2026-07-22,59,92
2026-07-23,3,8
2026-07-24,7,28
2026-07-25,15,15
2026-07-26,4,6
2026-07-27,2,53
2026-07-28,1,10
2026-07-29,1,9
2026-07-30,10,10
2026-07-31,,48
2026-08-02,12,12
2026-08-03,,79
2026-08-04,8,14
2026-08-05,2,57
2026-08-06,8,19
2026-08-07,2,45
2026-08-08,,3
2026-08-09,9,11
2026-08-10,,76
2026-08-11,,1
2026-08-12,,5
2026-08-14,,4
2026-08-15,4,4
2026-08-17,,6
2026-08-18,3,6
2026-08-19,,2
2026-08-21,1,13
2026-08-22,1,2
2026-08-23,2,2
2026-08-24,46,138
2026-08-25,,1
2026-08-26,,7
2026-08-27,,3
2026-08-28,47,102
2026-08-29,2,2
